"Name","CreationTime","LastWriteTime"
"labs","2/7/2026 4:28:22 PM","2/7/2026 4:28:22 PM"
"test.txt","2/7/2026 4:29:26 PM","2/7/2026 4:29:26 PM"
"procs.CSV","2/7/2026 6:08:36 PM","2/7/2026 6:09:18 PM"
"procs.json","2/7/2026 6:18:47 PM","2/7/2026 6:24:53 PM"
"procs.xml","2/7/2026 6:31:00 PM","2/7/2026 6:32:13 PM"
"procs_xml_imported_to_txt.txt","2/7/2026 6:51:26 PM","2/7/2026 6:51:26 PM"
"process.txt","2/7/2026 6:54:03 PM","2/7/2026 6:54:03 PM"
"my_modules","2/11/2026 6:37:11 AM","2/11/2026 6:37:11 AM"
"chapter7.txt","2/12/2026 5:02:48 AM","2/12/2026 5:02:48 AM"
"chapter7.zip","2/12/2026 5:03:28 AM","2/12/2026 5:04:17 AM"
"TestFolder.zip","2/12/2026 6:23:19 AM","2/12/2026 6:23:19 AM"
"TestFolder2","2/12/2026 6:26:14 AM","2/14/2026 9:30:37 AM"
"Open_VSCode_learn-powershell-in-a-month-of-lunches.ps1","2/14/2026 9:36:36 AM","2/14/2026 9:36:36 AM"
"test1.html","2/14/2026 10:13:43 AM","2/14/2026 10:14:25 AM"
"test2.html","2/14/2026 10:17:47 AM","2/14/2026 10:17:47 AM"
"test3.html","2/14/2026 10:19:56 AM","2/14/2026 10:19:56 AM"
"processes.csv","2/14/2026 10:42:54 AM","2/14/2026 10:42:54 AM"
"process_properties_name.csv","2/14/2026 11:01:01 AM","2/14/2026 11:01:01 AM"
"TestFolder","2/12/2026 6:00:08 AM","2/15/2026 2:10:57 PM"
"Lab7Q7.csv","2/15/2026 2:31:26 PM","2/15/2026 2:31:26 PM"
